id,product_title,product_description,filename,format,mode,resolution,filesize,retrieved
148677588,Редуктор нижний для бензокосы триммер 7 шлицов D-28мм, Артикул 148677588 Комплектация Редуктор в сборе для бензокосы Страна производства Китай Вес с упаковкой (кг) 0.35 кг Длина упаковки 13 см Высота упаковки 9 см Ширина упаковки 15 см,res/img/148677588.png,PNG,RGBA,"(246, 328)",119.35,1711021358.860242
162040798,Леска для триммера армированная, Артикул 162040798 Материал изделия полиамид; нейлон; графит Длина (м) 15 м Сечение корда витой квадрат Комплектация Леска для триммера с сердечником Страна производства Китай Вес с упаковкой (кг) 0.15 кг,res/img/162040798.png,PNG,RGBA,"(246, 328)",85.05,1711021367.887605
16657221,"Триммер аккумуляторный Greenworks, 24V, 28 см, с АКБ 2АЧ и ЗУ", Артикул 16657221 Комплектация инструкция; гарантийный талон; триммер садовый; Зарядное устройство - 1 шт.; аккумулятор 2АЧ Страна производства Китай Длина упаковки 94 см Высота упаковки 20 см Ширина упаковки 24 см,res/img/16657221.png,PNG,RGBA,"(246, 328)",13.11,1711021375.9276102
122963071,Триммер садовый электрический," Артикул 122963071 Модель елескопический садовый триммер , косилка не самоходная , ручная беспроводная газонокосилка Тип аккумулятора батарейка тип АА Питание от батареек Тип режущего инструмента леска",res/img/122963071.png,PNG,RGBA,"(246, 328)",53.16,1711021384.665308
164327970,"Триммер-кусторез аккумуляторный садовый GET-3,6H Huter"," Артикул 164327970 Модель Huter GET - 3,6; аккумуляторный; садовый Гарантийный срок 1 год Тип аккумулятора Li-Ion Емкость аккумулятора 1500 мА*ч",res/img/164327970.png,PNG,RGBA,"(246, 328)",100.8,1711021392.77598
81316383,"Триммер электрический 350Вт дачный, для садового газона, леска в подарок, катушка полуавтомат Denzel"," Артикул 81316383 Питание Электрическая вилка Мощность устройства 350 Вт Тип двигателя Электрический триммер Ширина скашивания (см) 26 Максимальный уровень звука/шума 110 дБ Толщина лески 1,3мм",res/img/81316383.png,PNG,RGBA,"(246, 328)",182.61,1711021401.487325
166793445,Нож для триммера насадка для триммера диск для триммера, Артикул 166793445 Количество предметов в упаковке 1 шт Материал изделия сталь Посадочный диаметр 25 мм Комплектация диск для триммера; упаковка Страна производства Китай Длина упаковки 26 см,res/img/166793445.png,PNG,RGBA,"(246, 328)",25.95,1711021409.8473961
145993206,Катушка для триммера садового DENZEL 96365," Артикул 145993206 Гарантийный срок 1 год Материал насадки пластик Комплектация Катушка - 1 шт; М6 х 1,25 и М8 х 1,25 с правой резьбой - 2 шт; М8 х 1,25 с левой - 1 шт Страна производства Китай Вес с упаковкой (кг) 0.32 кг",res/img/145993206.png,PNG,RGBA,"(246, 328)",52.8,1711021419.081244
8144803,"Триммер электрический Арт. 21117, 280W, 20 см", Артикул 8144803 Модель GST2830 Гарантийный срок 2 года Мощность (лс) 0.3 лс Тип двигателя электрический,res/img/8144803.png,PNG,RGBA,"(246, 328)",24.14,1711021427.862608
211780093,"Леска для триммера 2 мм на 15 м. Сечение ""Квадрат"".", Артикул 211780093 Материал изделия нейлон Длина (м) 15 м Сечение корда квадрат Толщина нити 2 мм Страна производства Россия Длина упаковки 9 см,res/img/211780093.png,PNG,RGBA,"(246, 328)",61.16,1711021436.678252
81540326,Леска для триммера d 2 мм x 63 м сечение бесшумная, Артикул 81540326 Материал изделия нейлон Длина (м) 63 м Сечение корда бесшумная Толщина нити 2 мм Комплектация Леска для триммера d 2 мм x 63 м сечение бесшумная STARTUL GARDEN (ST6063-20) Страна производства Китай,res/img/81540326.png,PNG,RGBA,"(246, 328)",103.86,1711021444.810142
155359656,Триммер садовый электрический Brait BR-1600P электрокоса, Артикул 155359656 Модель BR-1600P; тип рукоятки D-образная Гарантийный срок 1 год Количество аккумуляторов в комплекте без аккумулятора Питание от сети; электрический,res/img/155359656.png,PNG,RGBA,"(246, 328)",145.01,1711021453.18903
147036174,Триммер электрический Small Cut Plus 350/23, Артикул 147036174 Модель SmallCut Гарантийный срок 2 года Питание от сети Мощность устройства 350 Вт,res/img/147036174.png,PNG,RGBA,"(246, 328)",31.67,1711021461.546123
147159403,Триммер электрический СОЮЗ ГКС-3515, Артикул 147159403 Модель ГКС-3515 Гарантийный срок 14 месяцев Питание От сети (220 В) Мощность устройства 1500 вт,res/img/147159403.png,PNG,RGBA,"(246, 328)",31.77,1711021469.831531
21294418,"Триммер аккумуляторный Greenworks GD40BC, 40V, 40 см, бесщеточный, без АКБ и ЗУ", Артикул 21294418 Комплектация инструкция; гарантийный талон; аккумуляторный триммер Страна производства Китай Длина упаковки 99 см Высота упаковки 38 см Ширина упаковки 58 см,res/img/21294418.png,PNG,RGBA,"(246, 328)",13.54,1711021478.197589
83399827,Леска для триммера (бухта) NEW серебро 4.0мм x 200м звезда с графитовым наполнителем Duoline S19270, Артикул 83399827 Длина (м) 200 м Комплектация леска -1 шт. Страна производства Китай Длина упаковки 10 см Высота упаковки 25 см Ширина упаковки 10 см,res/img/83399827.png,PNG,RGBA,"(246, 328)",84.13,1711021486.849076
161016384,Триммер для травы Zip Trim/Газонокосилка/садовый, Артикул 161016384 Модель Триммер для травы; газонокосилка триммер; триммер аккумуляторный садовый Тип аккумулятора батарейка тип АА Тип режущего инструмента леска Ширина скашивания (см) 10 см,res/img/161016384.png,PNG,RGBA,"(246, 328)",132.76,1711021495.4157472
154251555,"Леска для триммера 2,0 мм витой квадрат. Длина 15 м", Артикул 154251555 Вес с упаковкой (кг) 0.06 кг Длина упаковки 12 см Высота упаковки 5 см Ширина упаковки 12 см,res/img/154251555.png,PNG,RGBA,"(246, 328)",147.28,1711021503.845576
142224421,Леска триммерная, Артикул 142224421 Вес с упаковкой (кг) 1 кг Длина упаковки 1 см Высота упаковки 1 см Ширина упаковки 1 см,res/img/142224421.png,PNG,RGBA,"(246, 328)",54.89,1711021512.11877
139336967,Плечевые ремни для триммеров," Артикул 139336967 Материал изделия пластмасса; текстиль Совместимость Триммер Комплектация Система плечевых ремней для триммеров ТУНДРА, с защитой бедра Вес с упаковкой (кг) 0.35 кг Длина упаковки 25 см Высота упаковки 5 см",res/img/139336967.png,PNG,RGBA,"(246, 328)",33.36,1711021520.4625611
